member_id,signup_date,persona_segment,acquisition_channel,is_premium
5961e4b9-73fc-4b82-b37c-922e5d8b3bdd,2025-01-21,The Ghost,Organic,0
1508b1dc-1e8b-4a37-bcf7-c36c2c5742b1,2025-11-25,The Ghost,Referral,0
da812971-cb85-4743-9440-cc7db4f140ce,2025-06-16,The Ghost,Organic,0
6f12dfa7-2356-43a3-a3ec-377fc25e63ed,2025-10-01,The Newbie,Paid Social,0
619d57e9-e295-4ee7-a5fc-842971d2e336,2025-03-30,The Selective,Referral,0
36657c96-0e91-4064-95ba-87a8f2c80b93,2025-11-12,The Newbie,Referral,0
8935e407-df85-44a5-912d-e6a6e76da71f,2025-01-14,The Selective,Paid Social,0
05ee93a1-845b-43e8-a888-f9f278050bd3,2025-08-30,The Selective,Referral,0
2ee839e8-6057-44a9-9272-153731237f41,2025-09-22,The Selective,Organic,1
aa2a3726-085f-44b7-9444-8968a636261f,2025-12-12,The Selective,Organic,0
f97b635f-eef9-4177-a26f-90c0dda8d3d5,2025-02-22,The Selective,Paid Social,1
299b3d4b-fa41-419d-a5d2-7b27c874770d,2025-12-06,The Connector,Referral,0
2e69963f-a784-4661-826e-f3925beef444,2025-04-02,The Selective,Paid Social,1
8c504e81-48ec-424c-a56a-4da8f1e9c647,2025-09-21,The Selective,Organic,0
532c4f8a-0a78-4dd4-9d69-c46fc5bec2cc,2025-02-04,The Connector,Paid Social,0
d9fc7ae3-5264-4f7c-aea8-27d1720bd9e0,2025-07-25,The Ghost,Paid Social,0
148585a1-513a-425c-9f5d-f0037264aec8,2025-03-22,The Newbie,Referral,0
b579929e-9e9b-494a-84f8-d9e1dbe574ab,2025-02-19,The Newbie,Paid Social,0
87d18ecf-6de8-4cd5-ab62-cc8a59f05bec,2025-12-26,The Connector,Organic,0
a47d0f88-f806-41c3-b736-fe354732ecbf,2025-01-02,The Ghost,Organic,0
7a7af525-37d5-40e3-a2a2-aa1923ce9876,2025-02-23,The Ghost,Referral,0
4c6b57b1-fe7c-4708-9fec-41754959b532,2025-04-16,The Selective,Referral,0
c22e4697-ed14-4f80-82cd-47d7c9366d4d,2025-09-17,The Selective,Referral,1
24890f66-c7c2-476c-b85d-909eba44f279,2025-11-06,The Newbie,Paid Social,1
b3a06d3e-657a-488a-96f1-480935aa4028,2025-07-10,The Newbie,Organic,1
5ca80543-c4d8-4b29-8e55-1bf417b9fa43,2025-08-06,The Connector,Referral,0
781cfb94-45d1-4107-8773-5dfdcd8018eb,2025-02-13,The Ghost,Paid Social,0
c2c9b53a-5afc-4da3-9a90-e33d6e320fed,2025-06-11,The Selective,Organic,0
c36535aa-4d06-4539-8d62-0933f488d5f6,2025-07-21,The Newbie,Organic,0
8c79e6f7-55e4-46db-afda-7bd964164dc0,2025-09-27,The Selective,Referral,0
2dd61ec8-d50b-4f93-a1d2-dcb9b9c111e5,2025-12-17,The Selective,Organic,0
49e39080-f1fb-4888-83de-5b499f34daa5,2025-10-31,The Connector,Paid Social,0
19cf8726-5b8c-4e0b-b613-8da9830cf72b,2025-09-28,The Selective,Referral,0
c77862d8-e55b-412c-87bb-d0856fa64c3c,2025-08-03,The Ghost,Paid Social,0
2893eed0-345b-4957-890f-b763b4903493,2025-09-09,The Newbie,Organic,0
708c8d5f-4da8-43a5-b14a-d15aa50be0bf,2025-07-09,The Ghost,Paid Social,0
75dba163-54df-40c7-a838-38a0a70c179b,2025-10-23,The Ghost,Referral,0
fe91dc5b-8ca8-4d82-9b02-e5d840d8cdb7,2025-08-01,The Connector,Organic,0
beee8f39-f064-4c9b-85da-47fac6bec1fb,2025-07-27,The Connector,Paid Social,0
ba2d2163-88a9-42f5-8367-4c94451c0f27,2025-08-25,The Ghost,Organic,0
ee260d49-0a82-4b8f-bc36-a1b44915c19c,2025-12-04,The Newbie,Organic,0
e1da45fc-dbfa-41ad-8530-b3cd00137239,2025-02-22,The Newbie,Referral,1
3b49eefe-972d-4a1c-9811-231b117661c1,2025-10-07,The Selective,Paid Social,0
d500947b-b53d-4968-9ee9-5921e2bff1ae,2025-08-05,The Ghost,Paid Social,0
ac8c36f1-f98b-412a-9b58-270cd0ac00cb,2025-09-09,The Newbie,Organic,0
4119a3fc-04cb-49f5-b0fe-ac5b12088f6f,2025-07-07,The Ghost,Organic,0
bf29ce35-588f-4757-96e5-d4605098f47f,2025-02-10,The Ghost,Referral,0
ee8e5a03-20f7-4a60-b109-4ca7989f56a2,2025-06-06,The Newbie,Referral,0
ff253c01-904d-481e-b05d-aee4c538536b,2025-01-15,The Newbie,Paid Social,0
5767c83b-0d2e-4e23-acab-7893540cd605,2025-10-28,The Selective,Organic,1
67edfe48-f90f-496d-8898-77892566c0a5,2025-03-06,The Connector,Organic,0
ebd4ee33-05e1-41ca-9504-d7ad222df341,2025-12-11,The Newbie,Paid Social,0
f0dee54b-52b5-48a0-8692-0d5a753bb1d6,2025-11-23,The Connector,Referral,0
0bcbb430-0950-4ef0-9ee4-f57397b255f5,2025-01-09,The Ghost,Paid Social,0
1e1f4c7b-cb18-4305-9611-3838dbc146cb,2025-12-10,The Newbie,Referral,0
53b46905-81b8-41d3-8b4d-5a8a73a856db,2025-05-09,The Ghost,Organic,0
244771fd-aa5a-4fef-8f13-49aa43e5807c,2025-05-16,The Selective,Referral,0
6b80a1c7-33f5-4dd2-b912-1baecd87fbf2,2025-03-04,The Ghost,Referral,0
92b510be-8a8b-440a-ac94-60baa8d91624,2025-05-19,The Newbie,Paid Social,0
5a56fb48-7a0d-4a5b-ab0d-7bb6a496a42a,2025-03-22,The Ghost,Organic,0
f823be77-7e0b-40bd-ab36-2d197b21d28d,2025-06-12,The Connector,Organic,0
a169ea20-b382-4b64-8cd8-aff8d1fff4bd,2025-10-16,The Newbie,Paid Social,0
5349af8b-ba58-4d84-bec4-5136599a6b76,2025-09-18,The Newbie,Organic,0
d5a12e9b-14c6-4631-9d66-57039422f1f8,2025-08-19,The Selective,Paid Social,0
b120174f-c1a9-4266-8e1e-92d58c483830,2025-02-10,The Selective,Paid Social,0
da846f35-1695-4871-98d8-d46a2a892bd0,2025-01-28,The Ghost,Paid Social,0
69aa1c82-3e28-4864-b5a2-323b6510f9e9,2025-05-15,The Connector,Paid Social,0
9fea761c-8325-49b9-9708-71a24d277d95,2025-07-20,The Connector,Organic,0
a4601adb-3d79-46e9-809f-c38bd443443e,2025-11-24,The Selective,Organic,0
b1de4b91-af56-4f00-a57b-a6504de4bf4a,2025-09-25,The Ghost,Paid Social,0
69cf1f7d-acbc-49ff-ade3-d4fa49067827,2025-02-02,The Newbie,Organic,0
586e9855-30b2-42ba-a644-5265dbcd96bb,2025-02-17,The Selective,Organic,0
b5db7284-d5a9-4432-b9bd-28db8b1fa53f,2025-03-03,The Selective,Paid Social,0
4d3e1f64-81ee-40f7-b0c1-9c156e59d9cc,2025-08-04,The Ghost,Referral,0
c7f07f64-f24f-4126-8cfe-4464c1eaff4f,2025-10-20,The Connector,Referral,0
19f98c85-4df2-45e0-9ccd-c6e96120e222,2025-04-09,The Connector,Referral,0
928f23dd-afd1-4ad6-9e2d-4f913a8a07f7,2025-06-21,The Connector,Paid Social,0
c20bdc64-fe03-470f-be3a-0eebdbfea6cf,2025-12-26,The Selective,Organic,0
9d80f0d7-c32e-4daf-9fa9-9e1ab0ea42c0,2025-08-02,The Newbie,Paid Social,0
e65eedda-c61d-41cb-a4d2-c6be87e7b5dc,2025-02-04,The Newbie,Referral,1
e0e3f168-1c4d-49be-b3dd-40267aad6c53,2025-08-15,The Newbie,Organic,0
f92d1f73-12dd-4a40-a13d-6ed68cceb2b0,2025-04-11,The Connector,Referral,0
00785361-4a6d-4a3f-ae45-2a1c5a48e776,2025-05-11,The Selective,Referral,0
29c945a3-30fb-4f05-8594-6e71a4e87038,2025-09-14,The Selective,Paid Social,0
9b96295c-ac9c-4f24-919c-1421397bfedd,2025-01-05,The Connector,Paid Social,0
ef771bfe-ff52-4d69-a09b-88510e9ae3a5,2025-08-06,The Selective,Paid Social,0
098c9d19-68c6-4728-aee4-c28d498a0b94,2025-09-12,The Newbie,Organic,0
c06cc603-0220-465c-9aa3-966c3d66fe31,2025-12-25,The Selective,Organic,0
df3c941a-3679-45ef-9318-17e350deb7fe,2025-10-10,The Newbie,Referral,1
42ce2d0f-5e12-4565-9d1a-a3331f542386,2025-07-26,The Newbie,Paid Social,0
220aed4b-272b-40dd-acda-0c17a5140b07,2025-01-15,The Selective,Organic,0
5c0327b8-0da3-4a3d-b815-c216440a9334,2025-12-12,The Selective,Paid Social,0
5d1acd2f-7e25-46cf-b93b-7d8c58201a32,2025-02-11,The Newbie,Organic,0
5ff2448a-e913-4f75-975b-d31b1882c8a3,2025-06-28,The Ghost,Referral,0
4e32c69b-f788-4a90-9fc4-a5e07f2cdfd7,2025-03-04,The Ghost,Referral,0
67d20824-d56d-476e-a454-acd6cd166c5c,2025-12-18,The Selective,Referral,0
041123cd-0d64-4098-bf49-2cf5b01addc1,2025-08-19,The Newbie,Referral,0
41f9d504-132c-4c16-83a3-9af6b24dd7f8,2025-08-29,The Selective,Referral,0
a8e2597f-b028-4d36-88c2-fe1049166978,2025-02-21,The Newbie,Referral,0
c30bc018-96f1-4526-9602-32a0bbecdf00,2025-04-06,The Ghost,Paid Social,0
ee304a8f-18eb-4226-a9ea-ab46bca3929b,2025-08-10,The Newbie,Paid Social,0
c7980ba2-2fd7-4f18-8627-0285ec6a9f81,2025-08-19,The Selective,Organic,0
05804c3f-864b-4e30-b819-ef75f847c40d,2025-08-25,The Newbie,Paid Social,1
afe62178-b84d-4796-987f-aef4e123ddd9,2025-05-23,The Ghost,Referral,0
a607fac0-7378-43a6-9da8-f649106afe02,2025-06-20,The Connector,Referral,0
209e4aa6-c507-4b1a-a807-324dce5ec6ec,2025-01-29,The Selective,Paid Social,1
8498309a-9a6f-47a4-b1a6-f442d12e65ae,2025-02-05,The Selective,Referral,0
43887932-90c7-4771-a572-e3eac26f219b,2025-01-13,The Selective,Organic,0
efcde2c0-ad14-40d7-ba98-16d2d80e41db,2025-06-09,The Selective,Paid Social,0
43a43115-5471-4f26-b27c-d09396ddfd0d,2025-11-23,The Selective,Paid Social,0
0357849a-55d9-4472-b2d8-10812a65c1aa,2025-07-06,The Selective,Organic,0
7166aca0-2836-4701-8d7c-859c171fc7fc,2025-08-31,The Selective,Paid Social,0
1a3cc09b-ff86-460a-a6c7-49f59d9ba53d,2025-03-27,The Newbie,Paid Social,1
18e60c44-106c-47fa-8e84-ce6ae888c83e,2025-10-11,The Connector,Paid Social,0
46641de8-6c57-4c1d-9727-8bf5e7b143fc,2025-03-07,The Ghost,Organic,0
bce1f8d8-f821-4416-b454-27d1d192ced2,2025-06-19,The Selective,Paid Social,0
f14c8029-4cb1-4b54-81ec-3535cab91752,2025-02-14,The Newbie,Referral,0
ba6fc60a-5d74-4a4a-b7f8-bb710fe4c6ec,2025-03-03,The Selective,Organic,0
bf91e8da-e214-4f1e-812f-40f09a5888ff,2025-05-14,The Selective,Organic,1
546b7e01-3213-451a-a5dc-1068d79a50eb,2025-10-11,The Newbie,Referral,0
d62dbc32-1fbe-4070-a4dd-22bfd4338899,2025-01-28,The Newbie,Referral,0
45b4aa72-ab0b-473e-98d7-ef3f0b447ea5,2025-04-18,The Newbie,Referral,0
0239784e-9dce-40cc-b4bf-3fe8903bd427,2025-02-13,The Newbie,Referral,0
294f681a-b588-498a-a745-c641bf015f2f,2025-12-06,The Newbie,Paid Social,0
330795ae-1e9a-4ee6-a7a7-30d9552cb00e,2025-10-13,The Connector,Organic,0
05c5e29f-5e4b-4cef-ae06-881697df7f68,2025-11-27,The Newbie,Referral,0
691d6efb-5e7a-4681-b37c-d818f0c3f8e4,2025-05-08,The Selective,Paid Social,1
e14bbc44-486d-48d0-b475-faaf1a7e10bb,2025-12-14,The Selective,Paid Social,0
674790df-e3f3-489a-81aa-167bb14a16d8,2025-08-19,The Connector,Paid Social,0
75ca0cd3-e249-4e8c-9a8a-01b75b720b97,2025-07-09,The Selective,Organic,0
738f2045-c8ec-4799-ae82-798a013a9e13,2025-08-13,The Selective,Paid Social,0
e283f8ed-0b82-45a6-b12e-5dc1420d856c,2025-10-10,The Selective,Referral,0
576300fb-359a-4c5f-b706-effe8b2f15d2,2025-05-01,The Newbie,Referral,0
408d3394-5b1a-4b90-9c09-749aa1d29fbf,2025-04-26,The Selective,Referral,0
ab0b76b3-ad57-4338-bdb2-f273997d351b,2025-08-21,The Ghost,Referral,0
4f3ed031-8f9f-4022-b40b-d445c1caa50b,2025-09-16,The Selective,Paid Social,0
6146907c-03c3-4fee-96ae-32431f0d4008,2025-12-25,The Selective,Organic,0
772d87b1-cc1e-4d4b-8bc6-404d05f1aaf3,2025-07-17,The Newbie,Referral,0
fb745e6c-1aec-4347-a22d-dc2773c901a3,2025-05-17,The Ghost,Organic,0
47ec4076-affc-4544-9290-191f308f5970,2025-11-14,The Newbie,Referral,0
6df537a5-c6e7-401d-84d2-8c01a54f11a4,2025-06-14,The Newbie,Organic,0
b21ebc67-3b7b-4498-aed2-c6949a139efe,2025-08-13,The Ghost,Referral,0
1908e455-e5b9-44a3-a093-e583eb88b804,2025-11-03,The Newbie,Referral,0
adff1485-24b6-440d-a702-58d36b453d58,2025-08-22,The Newbie,Referral,0
0915dc89-3dbe-4083-b102-8b8a97750e68,2025-06-21,The Ghost,Paid Social,0
c7086541-59e7-4988-a9b5-02b618cdaa2a,2025-06-01,The Connector,Organic,0
bfa5ecda-76db-46ba-9b37-d60a5761a1f1,2025-11-11,The Ghost,Referral,1
e5c8a181-56d9-4ab3-acf8-b3ad275bd35c,2025-06-09,The Selective,Referral,0
6d94e413-214a-44c0-a760-247a7d9050ed,2025-04-06,The Ghost,Organic,0
cabebbc5-6567-4dd4-bfe6-69178c30c6fb,2025-08-21,The Selective,Paid Social,0
96175c7b-5789-4d5b-872f-3da889d4414e,2025-06-29,The Selective,Paid Social,0
1e077a41-2649-4e29-b9b2-2a0c15f845fe,2025-04-23,The Ghost,Paid Social,0
9b1ec5d2-8cf1-4a16-9aa2-3ffc0cb3383a,2025-11-14,The Connector,Organic,0
3f1e5795-aa37-4691-8ff2-2b32278e56f0,2025-02-21,The Newbie,Paid Social,0
1d676bee-9334-4630-a23b-8707e4a4c7f7,2025-09-25,The Selective,Referral,0
acccdb4a-db1d-46cb-b8d6-bae9a6b960df,2025-10-22,The Connector,Organic,0
1b443d47-3cf7-4f6d-8fe2-6f94eccd3f53,2025-04-23,The Ghost,Organic,0
c8f1025c-45c1-4332-88ab-187e3e79e6d2,2025-04-11,The Connector,Referral,0
6269f8b0-73a5-436f-a1ad-ab226e454965,2025-04-23,The Newbie,Organic,0
45c93991-94ed-4495-8c47-ad334264762f,2025-03-22,The Selective,Organic,0
ea163b26-713a-41c4-bc31-6fba19db1d80,2025-07-06,The Ghost,Organic,0
bb023579-5a7c-4f31-83db-67311662c244,2025-04-23,The Newbie,Organic,0
15a1ee2a-d877-4450-b3a4-4e6f7ee4ce42,2025-01-02,The Newbie,Referral,1
78fff2f7-54e1-41d1-b451-169a8b5a239a,2025-05-10,The Ghost,Referral,0
34592f5b-bd3b-4de3-bafa-6a27b71fc4a1,2025-08-08,The Connector,Referral,0
db63456d-eccc-4cbd-9ef2-4e5f25e058e0,2025-02-23,The Newbie,Organic,0
629aeee2-fc5e-43aa-94db-114536c7c587,2025-12-09,The Newbie,Referral,0
e1fcaea4-a1a9-4e59-990c-bb698ed6350b,2025-08-12,The Selective,Paid Social,0
a2ef8289-8ef3-4852-9cdb-b84e086773d4,2025-08-13,The Newbie,Referral,0
41e30d93-7220-4919-b693-7511bd3c0d83,2025-05-06,The Newbie,Paid Social,0
a3d96aa9-086a-4c84-87d3-4257146c0032,2025-05-10,The Newbie,Referral,1
c9a4160e-3793-4955-9c05-94e2e55eaf67,2025-02-22,The Connector,Organic,0
90604c2d-fe69-4989-8dc8-9ca6be1a5ced,2025-06-21,The Connector,Organic,0
49c2ac8a-be4d-4203-aed9-31ed497987c1,2025-08-06,The Connector,Referral,0
6d795b13-3c13-4aec-9c11-ac91eccea3ba,2025-06-09,The Selective,Referral,0
5af8a4ab-cdec-4ce5-97df-465dd6dc4da8,2025-07-17,The Connector,Organic,0
b562314d-681c-4465-9db1-b3dc8f14acf0,2025-09-04,The Newbie,Paid Social,0
81c25285-760b-476f-9adf-a4157e749801,2025-11-20,The Selective,Referral,0
ed26e675-261e-487c-8da3-909a2bc81100,2025-07-22,The Ghost,Referral,0
3aa64864-aad3-4768-a7e1-7951bc0a72bc,2025-07-03,The Newbie,Referral,0
740d7080-72db-4d5c-b7db-0e2102a57444,2025-05-03,The Selective,Paid Social,0
8f01e410-1c6b-42bd-80eb-fab0f83ba9ef,2025-09-12,The Connector,Organic,0
778db21e-4873-46d2-95b7-de30db544165,2025-10-21,The Newbie,Referral,0
61c50bd9-d97d-45e5-823a-c48303610e40,2025-10-07,The Ghost,Paid Social,0
13730eb8-b6df-4c50-b08a-e54ac81383b9,2025-11-21,The Newbie,Organic,0
5c1acecc-ebb3-47f7-b291-3cc1c89ef440,2025-04-08,The Newbie,Paid Social,0
8bb74d63-e64c-43c7-9974-6878f67a09f9,2025-07-17,The Selective,Paid Social,0
7d3af3a8-4706-4c5e-a1bc-0c679da85b04,2025-08-28,The Selective,Referral,0
61879bb4-252c-49c3-be2b-50973565e201,2025-05-24,The Newbie,Organic,1
c2e4b44a-9f67-4930-9499-efca5caadbb1,2025-04-07,The Connector,Organic,0
d9df139a-4dcf-45ef-a859-0d2f8568db32,2025-07-20,The Selective,Paid Social,0
261c2e4a-0c8e-4107-a859-0f3751fb25e6,2025-05-04,The Connector,Referral,0
6859a8c2-0087-41b8-91ce-5b5471434cf8,2025-07-06,The Newbie,Paid Social,0
bdefda8f-a350-4993-a37b-26e7fca88f80,2025-11-22,The Newbie,Referral,0
51aa4088-01da-4e1f-b935-22cf1422fe17,2025-12-15,The Newbie,Referral,0
32d0484d-91b7-47f1-93e6-6fc0486a5922,2025-09-16,The Selective,Referral,0
1b18a2c2-e918-4159-aa7d-86df8ee8ae21,2025-05-28,The Newbie,Paid Social,0
e531e9cb-469e-4d55-834d-3cf5ea127d33,2025-09-09,The Ghost,Paid Social,0
8e55f3f3-d6b7-4041-9e49-cadb9f5656a0,2025-12-12,The Newbie,Referral,0
3e42f275-55a3-4fb1-aa9c-3c3107e6f148,2025-05-27,The Newbie,Organic,0
d26bf80c-24c5-4aab-b4f4-43059e4e2b7d,2025-05-28,The Connector,Referral,0
5c3eecc5-d0b0-4b1d-ab6b-f60fac5da10a,2025-12-18,The Newbie,Paid Social,1
539edd6f-c3b4-4b5d-a641-a267120a1ed9,2025-07-18,The Connector,Paid Social,0
60a0ed7b-3e9b-401d-b55c-ad62d9674c99,2025-11-04,The Connector,Organic,1
e3be2836-e4f7-4842-852d-cfdf7ba4cf95,2025-05-08,The Selective,Organic,0
6b12d6df-612c-4ca5-b0a1-9a8191851386,2025-02-08,The Selective,Paid Social,0
f7605db5-7829-4a9f-aed3-e3908de18da3,2025-12-04,The Newbie,Paid Social,0
18a16a66-6901-4d8a-8e23-ac64dcad4209,2025-12-26,The Ghost,Organic,1
bd3f4645-cd72-4d23-92f3-8d7000226913,2025-05-09,The Newbie,Paid Social,0
88ef4fad-508f-4b85-8bd4-55fd672d95a2,2025-09-24,The Selective,Referral,0
5dc08cef-e83c-4c76-ad7a-e1bcd4b02db8,2025-05-31,The Newbie,Organic,0
e2100641-4028-446b-adcf-42841e4aa33e,2025-10-25,The Newbie,Paid Social,0
3012e788-873b-489e-bf02-3338536a80ad,2025-04-09,The Newbie,Organic,0
94f556ec-e2ec-438c-9506-df84279433bb,2025-09-20,The Selective,Paid Social,0
d6e6bc1b-440f-4bd9-994f-27792962ebbf,2025-09-09,The Connector,Paid Social,0
dbc98e4f-fcde-44b7-ad44-a8924e73db98,2025-05-24,The Newbie,Organic,0
063885f7-6ba1-418f-b9f0-00b25a0fd736,2025-12-12,The Newbie,Paid Social,0
4daaabbe-382d-4e1b-ad81-62e514dfdc7e,2025-04-22,The Ghost,Referral,0
8f37e138-36b1-4bc2-8ecb-fd4187db4ad6,2025-03-01,The Connector,Referral,0
54ea24d1-40f1-4d15-8203-fd41e746bc9a,2025-01-02,The Newbie,Referral,0
be09707d-601d-49db-ab17-ad86a88605df,2025-10-31,The Selective,Paid Social,0
c2a32ef4-49dd-4299-9e6b-1eeb22b23d8a,2025-09-11,The Selective,Referral,0
8def5f7f-262e-41d4-bc19-53d67ceca4d1,2025-05-20,The Newbie,Referral,0
27b3bd44-f639-4fbf-a79a-2695f441e5d7,2025-02-06,The Ghost,Referral,0
4177653d-78a1-4bce-b131-66c9efea154a,2025-06-09,The Newbie,Organic,0
b3377a9e-61d1-4e0f-b2ec-5f8c06fe3165,2025-01-09,The Connector,Organic,0
f5c0fec9-37da-4814-8044-159dfbdbd9f1,2025-08-21,The Selective,Referral,0
bff3e927-55cf-4d73-9de6-32533e4e01dc,2025-04-09,The Connector,Paid Social,0
9b94c35c-a0a9-4c3f-b053-4481f2dadd17,2025-05-27,The Selective,Referral,0
e0e583dd-e0da-4e55-a608-29155397e905,2025-10-31,The Newbie,Organic,1
5b4378f3-ea9d-4789-bc59-24c45ef179de,2025-07-27,The Newbie,Paid Social,0
f4eeb86f-66dc-4d3d-b894-dbbd34432102,2025-05-11,The Newbie,Referral,0
6ecca4c3-ec21-4484-97ee-c2e497d802bf,2025-06-01,The Newbie,Referral,0
14555d74-0476-4667-a97e-0ed386d8406a,2025-02-23,The Newbie,Paid Social,1
c9c40507-d777-4cd7-893b-7208418f64e0,2025-04-30,The Newbie,Organic,0
b0bce1b1-ba4e-4495-9dad-73f666fb6b25,2025-06-10,The Selective,Organic,1
d322b28f-6a47-4bac-9959-534f029d7fa0,2025-04-26,The Selective,Referral,0
9a38f22e-a4b7-45ba-82ef-d07a3f6593f9,2025-03-16,The Connector,Organic,0
7becda73-d7ed-4875-b027-8bfb231526f2,2025-04-23,The Ghost,Referral,0
ca8ef2d0-db28-4e39-9f2f-53e05ad95709,2025-04-14,The Ghost,Referral,0
52b41175-9ccc-4f86-a82f-08538388cbf0,2025-12-06,The Newbie,Referral,0
e2be050a-960d-4aae-a29f-547adb02b001,2025-09-11,The Newbie,Referral,0
7397aeb8-d53a-4b4f-8fa7-59103733167f,2025-08-15,The Newbie,Paid Social,0
6c43afaf-2a51-46f2-878f-4820730d9e39,2025-04-22,The Selective,Referral,0
28017aee-3556-4df8-8a76-68b786b3cd82,2025-04-09,The Selective,Paid Social,0
cb05df87-5d6e-4e9b-831e-83bc2383d2fa,2025-06-02,The Selective,Referral,0
6d8cb521-ff06-4cfd-95e8-10ddac3ff36a,2025-12-15,The Ghost,Paid Social,0
ad5abd3a-62d2-428d-a310-82309bcc4324,2025-12-04,The Connector,Paid Social,0
ad4d51be-7017-4edc-ab26-1566e83cc7ca,2025-07-13,The Newbie,Referral,0
ab4cac13-aae9-482a-a834-727b37e63971,2025-11-06,The Ghost,Paid Social,0
729c6e5f-912e-4ce0-8152-86036cda4be5,2025-06-12,The Selective,Paid Social,1
d6e801de-ea77-467c-b147-f7a80e714e58,2025-07-27,The Newbie,Organic,0
6db10c5c-b9b4-44fe-a209-e5c0487ccbb0,2025-06-18,The Ghost,Referral,0
0b07c60c-297d-401c-8f70-8029f563d052,2025-06-10,The Newbie,Organic,0
9fab4304-a8d0-476a-905b-7038188d0deb,2025-03-09,The Newbie,Referral,0
55f0a9f4-e00c-492b-96b7-77c9fa9bd19c,2025-10-16,The Selective,Paid Social,0
